Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746051887.72,37.87597286955908,-122.25896823776831,50.0,2.0,4.0,4.0,24.98166015625,48.38624718027161,1002.0537941107792,93.63587367426526,12656.5
1746051889.63,37.875969854121635,-122.25899278867168,54.5,2.0,4.0,4.0,25.203828125,49.89955086758572,1002.035012630763,93.79365616414198,8407.0
1746051891.66,37.875974140175316,-122.25899805325021,49.5,2.0,4.0,4.0,25.371699218750003,49.914966116072634,1002.0216544460731,93.9058795943328,12931.0
1746051893.63,37.87597439814243,-122.25899835195084,49.5,2.0,4.0,4.0,25.485371093749997,49.57829808421207,1002.0182702327972,93.93431088778874,16424.0
1746051895.74,37.87597203213805,-122.25899685476914,36.0,2.0,4.0,4.0,25.558515625,49.267448891293675,1002.006026675213,94.0371716566235,19213.0
1746051897.59,37.875976940993375,-122.2589991881937,42.5,2.0,4.0,4.0,25.558515625,49.267448891293675,1002.006026675213,94.0371716566235,19213.0
