time,pm 1.0,pm 2.5,pm 10,temperature,gas,humidity,pressure,altitude
1740008179.1794865,0,0,0,33.1438671875,20089,100,702.877453836745,2980.424988956585
1740008180.1906464,0,0,0,23.695234375,11206,53.46735821635307,1011.2085355081125,17.010468261776463
1740008181.2017653,0,0,0,23.7315625,14527,53.376120112259336,1011.2074653339981,17.019392758610508
1740008182.2129285,0,0,0,23.7739453125,16492,53.24732041060025,1011.2038559562653,17.049492477960094
1740008183.22716,0,0,0,23.813984375,17937,53.124682403329146,1011.2052616416189,17.03777002187638
1740008184.2402194,0,0,0,23.849140625,19299,52.995073111430045,1011.2022710653515,17.062709401885424
1740008185.2533898,0,0,0,23.8813671875,20420,52.85237925831316,1011.1998187498716,17.083160096153797
1740008186.2666025,0,0,0,23.9083203125,21546,52.7282363649305,1011.1976355745354,17.10136637285888
1740008187.2796392,0,0,0,23.9309765625,22488,52.61636030806634,1011.2008379508428,17.074660627143334
1740008188.2924619,0,0,0,23.9512890625,23632,52.51061280730014,1011.2055335524457,17.03550247275457
1740008189.3056896,0,0,0,23.9684765625,24638,52.39813553873047,1011.210456163426,16.99445137115195
1740008190.3190958,0,0,0,23.9825390625,25486,52.304418807607014,1011.2014826072523,17.069284618215555
1740008191.3312664,0,0,0,23.996015625,26576,52.21066929839369,1011.1986196818983,17.093159547108684
1740008192.344252,0,1,1,24.006953125,27529,52.116630768191506,1011.2022317939319,17.063036899315776
1740008193.357288,0,1,1,24.0180859375,28457,52.0417452249924,1011.2061602089059,17.030276591130548
1740008194.3703403,0,1,1,24.026875,29367,51.95386429076302,1011.2045220450002,17.043937751051548
1740008195.3833215,0,1,1,24.035078125,30186,51.90408110151006,1011.210761487548,16.99190518877754
1740008196.396304,0,1,1,24.042109375,31120,51.84144796276633,1011.2062723082678,17.029341760232704
1740008197.4086988,0,1,1,24.0489453125,31823,51.77880949116081,1011.2120600826809,16.981075851431424
1740008198.4215944,0,1,1,24.056171875,32864,51.735293589775864,1011.2131841336236,16.97170209456416
1740008199.4327059,0,1,1,24.0628125,33784,51.67901252506371,1011.2133578713904,16.970253250319544
1740008200.4438002,0,1,1,24.067109375,34643,51.65417954953469,1011.215028168393,16.956324221203367
1740008201.4548562,0,1,1,24.0700390625,35368,51.61013063915768,1011.2091843495161,17.005057386118626
1740008202.4658976,0,1,1,24.07375,36249,51.55350407203763,1011.2099044095532,16.999052601018278
1740008203.477199,0,1,1,24.078046875,37109,51.50965659188738,1011.21334024364,16.97040025268582
1740008204.4903424,0,1,1,24.0817578125,38045,51.46574284330534,1011.2140602033963,16.96439632383392
1740008205.503327,0,1,1,24.08390625,38886,51.42163594123555,1011.2122465655626,16.979520720978037
1740008206.516268,0,1,1,24.0868359375,39615,51.40299739640289,1011.2116996613382,16.984081501724038
1740008207.5293784,0,1,1,24.08859375,40489,51.34617870339876,1011.2127841152288,16.975037952346916
1740008208.5424504,0,1,1,24.090546875,41240,51.32742058556691,1011.2124194751517,16.97807878204002
1740008209.5555813,0,1,1,24.09328125,42061,51.32143888923386,1011.2097900053336,17.00000665005448
1740008210.5680988,0,0,0,24.0958203125,42873,51.296423173019804,1011.2068437932305,17.024575973467282
1740008211.5802147,0,0,0,24.09875,43761,51.27146141603375,1011.2062966978758,17.029138367834864
1740008212.5930896,0,0,0,24.1005078125,44499,51.27168958094317,1011.2038494551875,17.049546692537774
1740008213.6063964,0,1,1,24.1024609375,45457,51.27194310234415,1011.2034846770234,17.052588695539846
1740008214.6194503,0,1,1,24.104609375,45902,51.29122849691964,1011.2052023767851,17.038264249858397
1740008215.6324751,0,1,1,24.1067578125,47079,51.31051602538139,1011.1980909632155,17.09756872183583
1740008216.6456163,0,1,1,24.1083203125,47343,51.3487421181107,1011.2023902266351,17.061715676368888
1740008217.658638,0,1,1,24.1102734375,48044,51.36801054817118,1011.2055570323027,17.035306666933472
1740008218.67167,0,1,1,24.1118359375,48598,51.38723029976474,1011.2045588086248,17.043631167522957
1740008219.684811,0,0,1,24.1130078125,49394,51.39372201739883,1011.1976296979996,17.10141537942398
1740008220.6979442,0,0,1,24.1133984375,50277,51.40011236986608,1011.196497213609,17.11085958269704
1740008221.7109644,0,0,1,24.1145703125,51099,51.36223068404237,1011.1948655900998,17.12446630545523
1740008222.7240539,0,0,1,24.1165234375,51694,51.349808245546164,1011.201564043037,17.06860549772287
1740008223.7380013,0,0,1,24.1173046875,52368,51.32455970214952,1011.199299052039,17.087494038589803
1740008224.7515671,0,0,1,24.1188671875,52926,51.3120889400101,1011.1965348994877,17.110545306176466
1740008225.764654,0,0,0,24.1219921875,53565,51.29982191414064,1011.1892406601957,17.171374850032898
1740008226.7778647,0,0,0,24.1251171875,54080,51.274884322493364,1011.1872439184456,17.188026530462324
1740008227.790985,0,0,0,24.12765625,55068,51.2562085822172,1011.1825312345261,17.22732771570242
1740008228.8039901,0,0,1,24.1298046875,55466,51.25015273072283,1011.1895463369209,17.16882568389272
1740008229.816651,0,0,1,24.1329296875,56318,51.23155536087023,1011.1928471384946,17.141298957947086
1740008230.8297012,0,0,1,24.1364453125,56696,51.23201155051767,1011.1950153625253,17.123217296070536
1740008231.8418908,0,0,1,24.138984375,57468,51.226007068844176,1011.20089794877,17.074160283917237
1740008232.8548267,0,0,1,24.1407421875,57942,51.232569138011925,1011.1949183944306,17.12402594998363
1740008233.867907,0,0,1,24.14171875,58504,51.232695865874035,1011.1982676392942,17.096095356438266
1740008234.8808928,0,0,1,24.14328125,59621,51.239232867189884,1011.1919713676102,17.148602360222167
