time,pm 1.0,pm 2.5,pm 10,temperature,gas,humidity,pressure,altitude
1740009018.4180264,0,0,1,33.1438671875,16862,100,702.877453836745,2980.424988956585
1740009019.429346,0,0,1,23.6946484375,14741,52.39393359094029,1011.2217025217261,16.900665286801406
1740009020.4404125,0,0,1,23.731171875,29781,52.31593359763078,1011.2209500174245,16.906940574635396
1740009021.4516523,0,0,1,23.7727734375,42314,52.20043634028325,1011.2160743475071,16.94759987848481
1740009022.4638836,0,0,1,23.81203125,51885,52.06561212751965,1011.205623725302,17.034750493317993
1740009023.4749036,0,0,1,23.849140625,60088,51.92423782349744,1011.218157102043,16.93023130234303
1740009024.4851065,0,0,1,23.8813671875,66795,51.80137658286673,1011.2104099691622,16.99483659795856
1740009025.4961798,0,0,1,23.9098828125,71857,51.67810448439221,1011.2125265916565,16.977185509186857
1740009026.5072591,0,0,0,23.933125,76621,51.57325209198282,1011.2131489076974,16.97199585270886
1740009027.5185857,0,0,0,23.9534375,79961,51.51246351923217,1011.210783114316,16.99172483719834
1740009028.5309083,0,0,0,23.972578125,83194,51.47690304607853,1011.2153421857435,16.95370555318492
1740009029.543477,0,0,0,23.9883984375,86079,51.45993765248676,1011.2198119587295,16.9164310868753
1740009030.556055,0,0,0,24.001875,89361,51.43632849273963,1011.2240111726138,16.88141299676167
1740009031.5686557,0,0,0,24.0128125,91692,51.38703629508356,1011.2258578995547,16.866012806232437
1740009032.5815682,0,0,0,24.024140625,93418,51.31246133868639,1011.2212752119375,16.90422871037337
1740009033.5946035,0,0,0,24.033515625,94889,51.26299687875412,1011.2205871440033,16.90996665192911
1740009034.6075978,0,0,0,24.038984375,95285,51.21937106335353,1011.2223926249873,16.894910377374714
1740009035.6205947,0,0,0,24.038984375,96099,51.181377993643856,1011.227689534139,16.850738496086606
1740009036.6335707,0,0,0,24.037421875,98684,51.16218203531879,1011.2216245506941,16.901315503065675
1740009037.6466243,0,0,0,24.035078125,100030,51.13022712258486,1011.2142927374426,16.96245716359033
1740009038.6596706,0,1,1,24.031171875,100746,51.11706253617136,1011.2167865669533,16.941660511047633
1740009039.6726494,0,1,1,24.028828125,101657,51.09777255642641,1011.2165172092953,16.94390674825638
1740009040.6855867,0,1,1,24.025703125,102273,51.0973682364045,1011.2149809641993,16.95671786865836
1740009041.6985607,0,0,0,24.0196484375,103591,51.096584903379394,1011.2139906878625,16.96497603152743
1740009042.7138007,0,0,0,24.0128125,104425,51.10202901845864,1011.2134989492064,16.969076766010897
1740009043.7274148,0,0,0,24.006171875,105271,51.07585769570082,1011.2168548262929,16.94109128035322
1740009044.741053,0,0,0,23.9981640625,106333,51.07482219042783,1011.2162278185143,16.946320046951357
1740009045.7539794,0,0,0,23.9868359375,107827,51.05437632557408,1011.2049196551509,17.040621954303255
1740009046.7669165,0,0,0,23.974140625,108312,51.02110541814116,1011.1984560454721,17.094524169760117
1740009047.7798724,0,0,0,23.9532421875,108312,51.03105700309306,1011.1910469722258,17.1563112671307
1740009048.7929287,0,0,0,23.930390625,109223,51.02178029808582,1011.1928263584207,17.14147225120656
1740009049.8058548,0,0,0,23.9032421875,110222,50.992977613325486,1011.1946957197017,17.1258829196827
1740009050.819847,0,0,0,23.87296875,110947,50.951134162082184,1011.1985540557195,17.093706827250955
1740009051.832472,0,0,0,23.842109375,111093,50.909228815898075,1011.1996924782596,17.084213119231794
1740009052.8451607,0,0,0,23.8133984375,112201,50.8739326924507,1011.1919561429231,17.148729325000577
1740009053.856375,0,0,0,23.7846875,113331,50.851282442252014,1011.1736271839206,17.301582992738574
1740009054.867454,0,0,0,23.7544140625,113560,50.82211954454027,1011.1686454427759,17.343128424343444
1740009055.8785427,0,1,1,23.7231640625,113713,50.80547052586486,1011.1585464504195,17.42734988775864
1740009056.8896148,0,1,1,23.690546875,114097,50.78864965576441,1011.1497556556892,17.500662072797606
1740009057.9009485,0,1,1,23.6591015625,115266,50.79092716723825,1011.142861990885,17.558153211992686
1740009058.9139917,0,0,0,23.630390625,114407,50.799871411525515,1011.1386358776361,17.593397911826806
1740009059.9270391,0,1,1,23.60109375,115741,50.821371800737424,1011.1246337341352,17.71017304715115
