Time,Latitude,Longitude,Temperature,Humidity,Pressure,Altitude,VOC,PM1,PM25,PM10,counts
1745515187.05,37.873094266299795,-122.25790931975158,16.88107421875,48.36154500380212,1006.1095142895683,59.61976093704842,4635.5,1.0,3.0,3.0,34.5
1745515189.06,37.87309595063358,-122.25791427400057,17.14357421875,48.68027936001898,1006.108711486861,59.62648293076041,7667.5,1.0,3.0,3.0,36.0
1745515191.02,37.87293423802729,-122.25788509831303,17.33361328125,48.80776982022858,1006.0799727542847,59.86712974531268,10627.0,1.0,3.0,3.0,36.0
1745515193.05,37.87284364370642,-122.25786282472421,17.45685546875,48.82225481272606,1006.0644853064528,59.99681748569445,14003.5,1.0,3.0,3.0,35.5
1745515195.04,37.872826568740045,-122.25785896200136,17.53263671875,48.801085249787995,1006.0415503866811,60.18887193532132,16859.0,1.5,3.0,3.0,44.5
1745515197.02,37.87306586596855,-122.25770705480892,17.5770703125,48.75517521956425,1006.0251214704023,60.3264476809843,19562.5,1.5,3.0,3.0,30.5
1745515199.03,37.87318795838907,-122.25760399628578,17.6051953125,48.69232135270463,1006.00116846112,60.527033738249244,22128.0,2.0,3.0,3.0,30.5
1745515201.02,37.873200918177844,-122.25758003965215,17.62306640625,48.640305476059325,1005.971882652766,60.772282424980915,25772.5,2.0,3.0,3.0,32.0
1745515203.07,37.873182267814755,-122.25752620857823,17.63869140625,48.597055497228126,1005.9420279126155,61.022301607992134,28590.5,1.0,3.0,3.0,33.5
1745515205.0,37.8731500089759,-122.25753159402733,17.63869140625,48.597055497228126,1005.9420279126155,61.022301607992134,28590.5,1.0,3.0,3.0,43.0
1745515207.05,37.87314588459423,-122.25753186749056,17.64953125,48.55625807540791,1005.9113678741916,61.27907144519321,31083.5,1.0,3.0,3.0,39.0
1745515209.0,37.87313011546672,-122.25756250305193,17.6485546875,48.51108003005835,1005.882741663433,61.518813723987,33683.5,1.0,3.0,3.0,39.0
1745515211.05,37.87312411918972,-122.25757160574064,17.63791015625,48.48279887138263,1005.8641157399536,61.674807245591495,36173.5,1.0,3.0,3.0,34.0
1745515213.03,37.873123847258626,-122.25757206819397,17.6192578125,48.49262641267423,1005.8373656475845,61.898845797803595,38548.5,1.0,3.0,3.0,34.5
1745515215.05,37.873131506215095,-122.25745584649157,17.554804687500003,48.53914069129567,1005.8053287709222,62.1671686854032,40916.5,2.0,4.0,4.0,40.5
1745515217.02,37.8731291483618,-122.2574077299622,17.543574218750003,48.64600123894412,1005.7839950397932,62.34585182930526,43130.0,2.0,4.0,4.0,37.5
1745515219.04,37.873128991215154,-122.25740035763194,17.53400390625,48.72605122274585,1005.7680897873872,62.47907006094901,46554.0,2.0,3.5,3.5,37.5
1745515221.02,37.87322243161054,-122.25738080907612,17.54328125,48.781279784659425,1005.74227224686,62.69531480199642,49466.5,2.0,3.5,3.5,35.0
1745515223.06,37.873296276770915,-122.25737628961835,17.56037109375,48.810366766347954,1005.7090970561551,62.97319318334033,51872.0,2.0,3.0,3.0,45.0
1745515225.02,37.87331595811848,-122.25737425576268,17.570820312499997,48.84168749280902,1005.6785985179674,63.228657847711546,54156.0,2.0,3.0,3.0,44.0
1745515227.03,37.87324588639963,-122.25739625051455,17.5731640625,48.83895421194204,1005.6524209724427,63.4479336998498,56474.0,2.0,3.0,3.0,44.0
1745515229.03,37.8731838825744,-122.2574247470626,17.58029296875,48.854841120938936,1005.6262042594885,63.667542296998334,58644.0,2.0,3.0,3.0,31.0
1745515231.06,37.873168329510136,-122.25743153618433,17.58625,48.86156245863283,1005.5903669967045,63.96774686845616,60734.5,2.0,3.0,3.0,38.0
1745515233.03,37.873310531441454,-122.25748213730671,17.58859375,48.8949487820646,1005.5591419082652,64.22932260055356,62693.5,2.0,3.0,3.0,37.0
1745515235.05,37.87340312319715,-122.25751793797862,17.6055859375,48.9120054207832,1005.5283087444358,64.48762133776953,64880.5,2.0,3.0,3.0,35.0
1745515237.0,37.87342726372846,-122.25752705251223,17.6247265625,48.926306605463004,1005.4902962457195,64.80607264427589,66819.5,2.0,3.0,3.0,35.0
1745515239.05,37.87339693895962,-122.25736931062384,17.6346875,48.9124279958547,1005.4555697273756,65.09700417771066,69002.0,2.0,3.0,3.0,36.5
1745515241.02,37.873367333127014,-122.2572714801939,17.648945312499997,48.92916536343887,1005.4266749593851,65.33908429487738,71028.0,2.0,3.0,3.0,40.0
1745515243.04,37.873360122392185,-122.25724597393744,17.673359375,48.95915114382181,1005.4088117974484,65.48874505793222,72483.0,2.0,3.0,3.0,30.0
1745515245.0,37.87328741868103,-122.25702990955072,17.692109375,48.991486665947406,1005.3886096734295,65.65800395976804,74245.0,2.0,3.0,3.0,30.0
1745515247.06,37.87324903605084,-122.25686986249009,17.70685546875,49.047462909541544,1005.3740207980138,65.78023558309147,75803.5,2.0,3.0,3.0,41.5
1745515249.02,37.87326867151399,-122.2568556498615,17.72501953125,49.10687678829578,1005.3536303026203,65.9510778086985,77940.5,2.0,3.0,3.0,39.0
1745515251.05,37.87330367093304,-122.2568428625134,17.74640625,49.19383803385152,1005.3203647310879,66.22980030783786,79055.0,2.0,3.0,3.0,36.5
1745515253.03,37.873430139170445,-122.25689623523878,17.752949218749997,49.24287651791353,1005.2989964990015,66.40884225874876,81048.0,2.0,3.0,3.0,33.5
1745515255.01,37.87354905853766,-122.25691419844343,17.752949218749997,49.24287651791353,1005.2989964990015,66.40884225874876,81048.0,2.0,2.5,3.0,33.5
1745515257.03,37.87358036201912,-122.25688647119055,17.72814453125,49.29725791317475,1005.2867476377451,66.51147546074111,82796.0,2.0,2.5,3.0,34.0
1745515259.05,37.87361998045664,-122.25689096416856,17.71095703125,49.337467500832375,1005.2709927843106,66.64348699616386,84413.5,2.0,2.0,3.0,31.0
1745515261.02,37.8733199369515,-122.25696276884736,17.70060546875,49.39661330603009,1005.2411139925234,66.89384893631544,86269.0,2.0,2.0,3.0,31.0
1745515263.05,37.873278236983225,-122.25691683601798,17.67169921875,49.441486423419704,1005.2225303750256,67.04956865254391,87942.0,2.0,3.0,3.0,25.0
1745515265.0,37.87331805102329,-122.25685497757257,17.565449218749997,49.46206365583343,1005.1965347413379,67.26740086224152,89451.5,2.0,3.0,3.0,25.0
1745515267.05,37.87336075681995,-122.25683192733885,17.5286328125,49.52111163851331,1005.1674712594797,67.51094583179587,90829.5,2.0,3.0,3.0,29.5
1745515269.02,37.87339403297554,-122.25682036031247,17.49484375,49.5654278314116,1005.1411767496382,67.73129188367781,92347.0,2.0,3.0,3.0,25.5
1745515271.05,37.87342135797988,-122.25680518906773,17.461640625,49.59773575747645,1005.117586493873,67.92898091401258,96630.0,2.0,3.0,3.0,32.0
1745515273.02,37.87343802016074,-122.25678352851303,17.411640625,49.60084833776385,1005.1041364137,68.04169558600806,97965.0,2.0,3.0,3.0,32.0
1745515275.05,37.87345102000485,-122.25676747683792,17.3458203125,49.60812532887323,1005.0848680343988,68.20317107169889,99760.5,1.0,2.0,3.0,37.0
1745515277.02,37.87346473848629,-122.25674498645907,17.31466796875,49.6557932818591,1005.0698956641957,68.32864662152576,101420.0,1.0,2.0,3.0,28.5
1745515279.05,37.87348608275707,-122.25673557383267,17.28458984375,49.67639395589683,1005.0458700851827,68.52999483916396,102685.5,1.0,2.0,3.0,31.5
1745515281.02,37.873494725187165,-122.25671266572844,17.22404296875,49.711508521005506,1005.0273927129915,68.68484876472996,104198.0,1.0,2.0,3.0,30.0
1745515283.04,37.87350081918764,-122.25667639384938,17.1926953125,49.75615148621653,1005.0061839406627,68.862596804513,105565.5,1.0,2.0,3.0,30.0
1745515285.02,37.873506575828095,-122.2566632611772,17.12716796875,49.79370982591471,1004.9890617396288,69.00609779858917,107099.5,1.0,2.0,3.0,31.0
1745515287.06,37.873506575828095,-122.2566632611772,17.11642578125,49.88620159815826,1004.9727927294853,69.14245012371636,108281.0,1.0,3.0,4.0,40.0
1745515289.02,37.873506575828095,-122.2566632611772,17.12462890625,49.97494538093133,1004.9686519670115,69.17715458774808,109588.0,1.0,3.0,4.0,36.0
1745515291.07,37.873506575828095,-122.2566632611772,17.12736328125,50.06005278916263,1004.9557854823911,69.28499158965853,110616.0,1.5,3.0,4.0,44.0
1745515292.99,37.873506575828095,-122.2566632611772,17.12482421875,50.135481514528536,1004.9412588544532,69.40674402165726,111984.0,1.5,3.0,4.0,44.0
1745515295.02,37.873506575828095,-122.2566632611772,17.1159375,50.19199502670788,1004.9299168537216,69.5018060490614,113710.0,1.5,3.0,4.0,37.0
1745515297.06,37.873656760321396,-122.25611861790878,17.111640625,50.24301258306531,1004.9224009891958,69.56480015858398,114854.5,2.0,3.0,4.0,34.0
1745515299.02,37.873662643026385,-122.25609517484162,17.11056640625,50.29746257499727,1004.9003517883311,69.74960739794108,115832.0,2.0,3.0,4.0,34.0
1745515301.03,37.87369909374591,-122.2561210422823,17.1036328125,50.342126812169234,1004.8798200278765,69.9216987949205,117020.5,2.0,4.0,4.0,34.0
1745515303.0,37.873722514443415,-122.25626541081182,17.1036328125,50.342126812169234,1004.8798200278765,69.9216987949205,117020.5,2.0,4.0,4.0,36.0
1745515305.05,37.873725333149736,-122.25630306171512,17.0841015625,50.40045859617872,1004.854902649882,70.1305533215343,118075.0,2.0,4.0,4.0,39.0
1745515307.03,37.87366021432759,-122.25623101561845,17.0895703125,50.470918412492,1004.8081614037688,70.5223440467064,120037.5,2.0,4.0,4.0,34.5
1745515309.05,37.87362349501929,-122.25617118239624,17.088886718749997,50.48905039788171,1004.7699884084137,70.84232524584183,120282.0,2.0,4.0,4.0,38.0
1745515311.06,37.873618550079,-122.25616199702924,17.09201171875,50.53193334185379,1004.7426783439225,71.07125532589143,121480.5,2.0,4.0,4.0,38.0
1745515313.05,37.87364332373862,-122.25612582327,17.0925,50.5623605709807,1004.7099164580611,71.34589303684527,122661.5,2.0,4.0,4.0,30.0
1745515315.02,37.87364972709376,-122.25612832332554,17.082050781249997,50.573251156437486,1004.6748349616546,71.63998271706734,124123.0,2.0,4.0,4.0,42.0
1745515317.05,37.873650820384476,-122.2561281014638,17.05900390625,50.57958835552324,1004.6605819835657,71.7594686666067,124828.5,2.0,4.0,4.5,47.0
1745515319.01,37.87364894463617,-122.25609574570335,17.0188671875,50.57779468319187,1004.6256840102233,72.0520318681346,126430.0,2.0,4.0,4.5,47.0
1745515321.06,37.87364182996922,-122.256095162241,16.979609375000003,50.58218277239054,1004.6057645307023,72.21902849375273,127663.5,2.0,4.0,5.0,31.5
1745515323.03,37.87364121886973,-122.25612405588977,16.93673828125,50.59828599342834,1004.5761605212413,72.46722098676759,128733.0,2.0,4.0,5.0,36.0
1745515325.05,37.87365653840638,-122.2560785835804,16.88703125,50.610532984164614,1004.5446789706572,72.73116070499321,129437.0,2.0,4.0,5.0,31.0
1745515327.02,37.873675489529404,-122.25600731769468,16.847675781249997,50.666552036228744,1004.5102937505123,73.01945219691225,130587.0,2.0,4.0,5.0,34.0
1745515329.03,37.873680048228124,-122.2559904035108,16.819843749999997,50.733091115955645,1004.479259302922,73.27965738782879,131507.0,2.0,4.0,4.5,34.0
1745515331.02,37.873683525836164,-122.25595876998337,16.8091015625,50.810828744577805,1004.4470320417988,73.54987026076292,131604.5,2.0,4.0,4.5,41.0
1745515333.06,37.87368172168304,-122.25595362574651,16.791523437499997,50.88777519088503,1004.4162903234057,73.80763371240944,132689.0,2.0,4.0,4.0,34.5
1745515335.02,37.87368150302648,-122.25595225885891,16.763300781250003,50.94216845481592,1004.3929721668599,74.00315697351837,135122.5,2.0,4.0,4.0,40.5
1745515337.05,37.87369978008421,-122.25591243098465,16.7262890625,50.955956995706174,1004.36855975624,74.20785853261066,135589.0,2.0,4.0,4.0,43.5
1745515339.0,37.873706900639014,-122.25590116475114,16.6774609375,50.986578243782176,1004.3595917290419,74.28305788046292,136690.5,2.0,4.0,4.0,43.5
1745515341.04,37.87370832031864,-122.2558987191094,16.62951171875,51.026440421870674,1004.3219203658052,74.59894892330739,136639.0,2.0,3.5,4.0,40.0
1745515343.04,37.87372678683458,-122.2558590415133,16.6091015625,51.09703280873508,1004.29042272644,74.86307754683872,137378.5,2.0,3.5,4.0,38.0
1745515345.05,37.87373255630677,-122.25584936032968,16.57306640625,51.150533013339555,1004.2559493163192,75.15216830566018,138132.0,2.0,3.0,4.0,42.5
1745515347.01,37.87373366684296,-122.25584734222568,16.46525390625,51.17405642327836,1004.211799484323,75.52241516053138,139768.0,2.0,3.0,4.0,42.5
1745515349.06,37.87373306024696,-122.25574498361271,16.3969921875,51.26023948452192,1004.1704798231422,75.86894024875645,140550.5,2.0,3.0,3.0,31.5
1745515350.99,37.87372908065195,-122.25570454138803,16.3969921875,51.26023948452192,1004.1704798231422,75.86894024875645,140550.5,2.0,3.0,3.0,28.0
1745515353.05,37.87372849769956,-122.25569722205807,16.38126953125,51.35890460265426,1004.1236723458811,76.26150276533122,141331.0,2.0,3.0,3.0,37.5
1745515355.02,37.87384336435048,-122.25552292189096,16.3878125,51.44811628290368,1004.0788732210091,76.63723550824363,141443.5,2.0,3.0,3.0,32.5
1745515357.05,37.873902985994185,-122.2554441387928,16.405390625,51.517354742627674,1004.0432986392555,76.93561090699211,141330.5,2.0,3.0,3.0,32.5
1745515359.02,37.873914646073715,-122.25542801976437,16.43107421875,51.57845046336495,1003.9983896403246,77.3122894950109,142125.5,2.0,3.0,3.0,36.5
1745515361.05,37.87383099962385,-122.25520546223609,16.4505078125,51.62965252962276,1003.9576567515222,77.65395245783495,143630.0,2.0,3.0,3.0,35.0
1745515363.02,37.87375861425515,-122.2550798112593,16.478144531250003,51.69714179599164,1003.9077554611789,78.07253448566414,143451.0,2.0,3.0,3.0,31.5
1745515365.1,37.873737749658005,-122.2550523783401,16.5149609375,51.76272333568076,1003.8629821276979,78.44811555475746,144862.0,2.0,3.0,3.0,41.0
1745515367.01,37.87387561522227,-122.25514465023045,16.5301953125,51.83181687119626,1003.831683848035,78.71066961865805,145517.0,2.0,3.0,3.0,41.0
1745515369.05,37.87397616718785,-122.2553369455805,16.546015625000003,51.8887778083757,1003.8215589080435,78.79560673847772,145458.0,2.0,3.0,3.0,30.0
1745515371.02,37.87401576064329,-122.25545788195194,16.57072265625,51.9284942205053,1003.806816285453,78.91928251726642,146729.0,2.0,3.0,3.0,26.5
1745515373.05,37.874036338215575,-122.25550792191387,16.5784375,51.96002681801847,1003.8127463705305,78.86953486595584,147703.5,2.0,3.0,3.0,35.5
1745515375.0,37.87405067127,-122.25555829715194,16.60138671875,51.990367499105176,1003.8075219602181,78.91336256295722,147519.0,2.0,3.0,3.0,35.5
1745515377.06,37.874069111456976,-122.25559484224976,16.62599609375,52.01479930760058,1003.7967995228651,79.00331391061582,148014.5,2.0,3.0,3.0,49.5
1745515379.02,37.87408761329173,-122.25561450230973,16.64572265625,51.9896743254983,1003.7825768841979,79.12262996900643,148510.0,2.0,3.0,3.0,38.0
1745515381.06,37.87410579179403,-122.25563184871719,16.66125,51.985455569459425,1003.7593318163915,79.31763958048357,149577.5,2.0,3.0,3.0,40.0
1745515383.02,37.87412145682919,-122.25565448227555,16.67052734375,51.96823316737455,1003.7444756973373,79.44227365586964,150468.0,2.0,3.0,3.0,35.0
1745515385.03,37.87413547307966,-122.2556788756418,16.6637890625,51.9735274978486,1003.725979160725,79.59745109982097,151241.5,2.0,3.0,3.0,35.0
1745515387.03,37.87414363862956,-122.25569045609858,16.6645703125,51.99504210018941,1003.7055099155273,79.76918102791689,150917.5,2.0,3.0,3.0,41.5
1745515389.05,37.87415522335121,-122.25570573267015,16.66466796875,52.0256566140452,1003.6939234270665,79.8663889197984,150598.0,2.0,3.0,3.0,30.5
1745515391.02,37.87415522335121,-122.25570573267015,16.659687499999997,52.06483710974453,1003.6810192232181,79.97465328581251,151889.0,2.0,3.0,3.0,40.0
1745515393.08,37.874159856561555,-122.25571563515594,16.65138671875,52.06688079977063,1003.6707094844221,80.06115132297155,153273.0,2.0,3.0,3.0,33.5
1745515394.99,37.874159856561555,-122.25571563515594,16.630390625,52.0581857265469,1003.6592039575153,80.15768270471065,153673.0,2.0,3.0,3.0,33.5
1745515397.06,37.874159856561555,-122.25571563515594,16.60861328125,52.049396243471406,1003.6513700979453,80.22340934289309,154409.0,1.0,3.0,3.0,29.5
1745515398.99,37.874159856561555,-122.25571563515594,16.60861328125,52.049396243471406,1003.6513700979453,80.22340934289309,154409.0,1.0,3.0,3.0,34.5
1745515401.05,37.87423520268769,-122.25545298669599,16.5856640625,52.03434373082962,1003.6297307557209,80.40496714905836,154882.0,1.0,3.0,3.0,36.0
1745515403.0,37.87424101902856,-122.25540661655967,16.5696484375,52.03238318754731,1003.6176908646476,80.50598524132522,155290.0,1.0,3.0,3.0,36.0
1745515405.06,37.87420601129929,-122.25543387003952,16.555781250000003,52.02150543249628,1003.6077264727414,80.5895901094264,154882.0,1.0,3.0,3.0,36.5
1745515407.03,37.87419187103187,-122.25545509336754,16.53126953125,52.0276870219478,1003.6009858948207,80.6461462898526,155497.0,1.0,3.0,3.0,38.5
1745515409.02,37.874190947517455,-122.25545631818176,16.50080078125,52.11578173083723,1003.5913866379781,80.72668857648532,155905.5,1.0,3.0,3.0,38.5
