Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1745451806.27,37.87534953475331,-122.25840469441687,40.0,3.0,4.0,4.0,20.88810546875,46.613069934656245,1001.9868375351119,94.19838566322333,36556.5
1745451808.24,37.87534163348562,-122.25839949330832,36.0,3.0,4.0,4.0,20.88810546875,46.613069934656245,1001.9868375351119,94.19838566322333,36556.5
1745451810.22,37.87534034963767,-122.25839990024919,36.0,3.0,4.0,4.0,20.9247265625,46.53981566900882,1001.9879288498594,94.18921704919649,40878.5
1745451812.26,37.875342090561105,-122.25840771038233,45.0,3.0,4.0,4.5,20.95626953125,46.45705118494108,1001.9844164120514,94.21872646238793,46189.0
1745451814.23,37.8753395547109,-122.25837223291734,39.5,3.0,4.0,4.5,20.97638671875,46.35213068921608,1001.9880969743153,94.18780462049564,51015.0
1745451816.25,37.87533903239833,-122.25836911520024,42.0,3.0,4.0,5.0,20.996796875,46.300899128038324,1002.0032757488893,94.0602828184096,54872.0
1745451818.21,37.875338611547846,-122.25836376229961,42.0,3.0,4.0,5.0,20.997187500000003,46.25032524622654,1002.0174816180122,93.94093633379234,58707.5
1745451820.26,37.875328764822406,-122.25844511382074,35.5,3.0,4.0,5.0,20.970625,46.17876873964698,1002.0313444408167,93.82447287145229,62241.0
1745451822.22,37.875327849582874,-122.2584525136913,43.0,3.0,4.0,5.0,20.88986328125,46.080128550560346,1002.0380740951709,93.76793666982522,65923.0
1745451824.26,37.87532566178036,-122.25846655941305,39.5,3.0,4.0,5.0,20.85060546875,46.04880648625165,1002.0374635985947,93.77306545553895,68925.0
1745451826.24,37.875316782735595,-122.25858584212911,47.0,3.0,4.0,5.0,20.84142578125,46.06260734703269,1002.0324963719866,93.81479539410473,71722.0
1745451828.27,37.87531539834321,-122.25860044338195,47.0,3.0,4.0,5.0,20.827656249999997,46.111562325141705,1002.0457529112889,93.70342686375777,74718.0
1745451830.26,37.87531117731272,-122.25864110457134,43.0,3.0,4.0,5.0,20.8079296875,46.150912317589814,1002.0478084370573,93.6861584546163,76995.5
1745451832.27,37.875287192990974,-122.25859887390318,42.0,3.0,4.0,4.0,20.801386718750003,46.16502611223756,1002.043196990296,93.72489912945082,78739.5
1745451834.26,37.875287192990974,-122.25859887390318,38.0,3.0,4.0,4.0,20.804609375,46.16837578086597,1002.0302044853622,93.8340498011492,79271.5
1745451836.27,37.87530296276733,-122.25855352640572,34.5,3.0,4.0,4.0,20.80470703125,46.150538104484724,1002.0185415806811,93.9320312740127,81763.0
1745451838.21,37.8753031873031,-122.25855335734896,34.5,3.0,4.0,4.0,20.79650390625,46.11091889102259,1002.0076639308074,94.02341658841144,84862.5
1745451840.27,37.87532055826391,-122.2585394601143,33.0,3.0,4.0,4.0,20.78986328125,46.05662291330975,1002.000347378824,94.08488492931377,86349.5
1745451842.22,37.875325434013696,-122.25853268567612,39.5,3.0,4.0,4.0,20.77228515625,45.98324804596959,1001.9858515155317,94.20666954842054,87515.0
1745451844.31,37.87533511658039,-122.25840504506964,43.0,2.0,4.0,4.0,20.68791015625,45.89624638425667,1001.9667935291504,94.36678428941735,93094.0
1745451846.22,37.87533611514053,-122.25839206824077,43.0,2.0,4.0,4.0,20.5919140625,45.86139592981917,1001.9520178135783,94.49092358829225,97188.0
1745451848.26,37.87533775049945,-122.25837062458292,38.5,2.5,4.0,4.0,20.4618359375,45.828584902627,1001.938763666983,94.60228041456492,100875.0
1745451850.23,37.8753397067187,-122.25838310822415,48.0,2.5,4.0,4.0,20.24064453125,45.838727776603235,1001.932531808756,94.654638697656,104144.0
1745451852.25,37.8753397067187,-122.25838310822415,41.5,3.0,4.0,4.0,20.0485546875,45.935341292261214,1001.9285895518765,94.6877606316604,105565.5
1745451854.21,37.875339839708126,-122.25838395689809,39.5,3.0,4.0,4.0,20.0485546875,45.935341292261214,1001.9285895518765,94.6877606316604,105565.5
1745451856.24,37.87538841019207,-122.25813354769129,39.5,3.0,4.0,4.0,19.9290234375,46.10272117347033,1001.9182024526066,94.77503113506216,107133.5
1745451858.24,37.87539502212561,-122.2580982213646,39.5,3.0,4.0,4.0,19.89474609375,46.277077697836354,1001.9007763667205,94.92144360235554,108848.0
1745451860.27,37.87539504839126,-122.25803133417564,41.5,3.0,4.0,4.0,19.830585937499997,46.385660404965606,1001.8803128800278,95.09337831866216,111417.5
1745451862.24,37.87536820353429,-122.25812545168942,35.5,3.0,4.0,4.0,19.8485546875,46.51572070460533,1001.8811899899858,95.08600877736473,112445.0
1745451864.31,37.87531694880352,-122.25794547723874,41.0,3.0,4.0,4.0,19.883808593749997,46.59128638126022,1001.8682477307451,95.19475145934936,113819.5
