Time,Latitude,Longitude,counts,PM1,PM25,PM10,Temperature,Humidity,Pressure,Altitude,VOC
1746051482.96,37.8759706398539,-122.25899502998709,41.0,2.0,5.0,5.0,24.4919140625,48.83767599471777,1002.0528258485582,93.6440074335712,5733.5
1746051484.92,37.8759706398539,-122.25899502998709,40.0,2.0,5.0,5.0,24.6067578125,48.59421686549989,1002.0544750097931,93.63015294086128,7987.0
1746051486.94,37.8759706398539,-122.25899502998709,40.0,2.0,5.0,5.0,24.697578125,48.35712172669004,1002.0535864525217,93.6376176420051,9918.0
1746051488.92,37.875965938218386,-122.25900910027994,38.0,2.0,5.0,5.0,24.76564453125,48.10838466853717,1002.056638047682,93.6119814625102,11912.5
1746051490.97,37.875965938218386,-122.25900910027994,46.0,2.0,4.5,4.5,24.81544921875,47.90904422395754,1002.0612229055438,93.5734645699115,13984.5
1746051492.92,37.875965938218386,-122.25900910027994,56.5,2.0,4.5,4.5,24.81544921875,47.90904422395754,1002.0612229055438,93.5734645699115,13984.5
1746051494.97,37.875967978616735,-122.2589792915357,47.0,2.0,4.0,4.0,24.85705078125,47.74811824488907,1002.0677562477567,93.51857890457902,15634.5
